ids,nazwa,Gęstość (g/cm^3),Kalorie (kcal/100g),Tłuszcz,Weglowodany,w tym cukry,Białko,Sól
1,wieprzowina,1.0,242.0,13.9,0.0,0.0,27.3,0.0
2,ziemniak,1.0,77.0,0.1,17.5,0.8,2.0,0.1
3,pudding,1.0,119.5,3.2,20.0,0.0,3.2,0.1
4,dynia,1.0,26.0,0.1,7.0,2.8,1.0,0.0
5,rzepak,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6,malina,1.0,52.6,0.7,12.0,4.4,1.2,0.0
7,czerwona fasola,0.8,127.0,0.5,22.8,0.3,8.7,0.0
8,ryż,0.73,130.0,0.0,28.0,0.0,3.0,0.0
9,sałatka,0.5,154.0,8.5,8.9,0.0,0.3,0.0
10,sos,1.04,104.7,0.7,0.0,0.0,3.8,0.3
11,kiełbasa,1.05,301.0,26.56,1.98,0.0,12.07,0.8
12,wodorosty,0.5,45.0,0.64,9.14,0.6,3.03,0.0
13,skorupiaki,0.9,97.0,0.6,1.27,0.0,20.33,0.0
14,twardnik japoński,1.0,33.0,0.41,6.09,1.1,3.31,0.0
15,krewetka,1.0,99.0,0.28,0.2,0.0,24.0,0.0
16,groch cukrowy,0.85,42.0,0.2,7.55,4.0,2.8,0.0
17,zupa,1.02,90.0,5.0,4.0,0.0,2.0,0.0
18,soja,0.9,446.0,19.94,30.16,7.0,36.49,0.0
19,cebula szczypiorkowa,1.0,32.0,0.22,7.3,2.3,1.8,0.0
20,stek,1.0,250.0,15.0,0.0,0.0,26.0,0.0
21,truskawka,1.0,32.0,0.3,7.7,4.9,0.7,0.0
22,herbata,1.0,1.0,0.0,0.0,0.0,0.0,0.0
23,tofu,1.0,76.0,4.8,1.9,0.3,8.0,0.0
24,pomidor,1.0,18.0,0.2,3.9,2.6,0.9,0.0
25,orzech włoski,1.0,654.0,65.21,13.71,2.6,15.23,0.0
26,arbuz,0.8,30.0,0.2,7.6,6.2,0.6,0.0
27,pieczarka,0.7,28.0,0.3,3.3,1.7,3.1,0.0
28,biała rzotkiew,1.0,18.0,0.1,4.1,2.5,0.6,0.0
29,wino,1.0,83.0,0.0,2.7,0.6,0.1,0.0
30,pierożki wonton,1.0,177.0,4.0,26.0,1.0,10.0,0.0
31,migdały,1.0,579.0,50.0,22.0,4.4,21.0,0.0
32,jabłko,0.85,52.0,0.2,14.0,10.0,0.3,0.01
33,morela,1.0,48.0,0.4,11.12,9.0,1.4,0.0
34,szparagi,1.0,20.0,0.12,3.88,1.9,2.2,0.0
35,awokado,1.0,160.0,14.7,8.5,0.6,2.0,0.0
36,pędy bambusa,1.0,27.0,0.3,5.2,3.0,2.6,0.0
37,banan,0.8,89.0,0.3,22.8,12.2,1.1,0.01
38,kiełki fasoli,1.0,30.0,0.2,5.6,4.0,3.0,0.0
39,herbatnik,1.0,478.0,21.1,67.9,37.7,5.1,0.0
40,jagoda,1.0,57.0,0.33,14.49,10.0,0.74,0.0
41,chleb,0.24,267.0,3.33,48.7,0.0,10.72,0.0
42,brokół,0.8,34.0,0.37,6.64,1.7,2.82,0.0
43,kapusta,0.85,15.0,0.1,3.4,0.0,0.9,0.661
44,ciasto,1.0,297.0,4.3,57.7,30.0,7.3,0.0
45,cukierek,1.0,394.0,0.0,98.0,98.0,0.0,0.0
46,marchewka,1.0,41.0,0.24,9.58,4.5,0.93,0.0
47,nerkowiec,1.0,553.0,43.85,30.19,5.9,18.22,0.0
48,kalafior,1.0,25.0,0.28,4.97,1.9,1.92,0.0
49,seler naciowy,1.0,16.0,0.17,2.97,1.4,0.69,0.0
50,ser / masło,1.0,560.0,55.0,1.0,1.0,12.0,0.0
51,wiśnia,1.0,50.0,0.3,12.18,8.5,1.0,0.0
52,kurczak / kaczka,0.9,240.0,10.0,26.0,6.0,15.0,0.0
53,czekolada,1.0,535.0,29.66,59.4,51.5,7.65,0.0
54,kolendra / mięta,1.0,23.0,0.52,3.67,0.9,2.13,0.0
55,kawa,1.0,0.0,0.0,0.0,0.0,0.0,0.0
56,kukurydza,1.0,86.0,1.18,19.02,6.3,3.22,0.0
57,krab,1.0,97.0,1.5,0.0,0.0,19.0,0.2
58,ogórek,0.8,15.0,0.11,3.63,1.7,0.65,0.0
59,daktyl,1.0,282.0,0.39,75.0,63.0,2.45,0.0
60,suszona żurawina,1.0,308.0,1.37,82.36,65.0,0.07,0.0
61,jajka,0.8,143.0,9.5,0.72,0.7,12.6,0.0
62,bakłażan,0.5,33.0,0.2,7.5,1.5,2.0,0.0
63,tarta jajeczna,1.0,375.0,22.44,37.05,11.2,6.33,0.0
64,grzyby enoki,1.0,37.0,0.29,7.81,5.0,2.66,0.0
65,figa,1.0,74.0,0.3,19.18,16.3,0.75,0.0
66,ryba,0.9,205.0,12.0,0.0,0.0,22.0,0.0
67,fasolka szparagowa,1.0,31.0,0.3,6.0,4.2,1.0,0.0
68,frytki,0.7,274.0,14.06,35.66,0.6,3.48,0.0
69,smażone mięso,1.0,258.0,10.44,26.5,5.9,14.7,0.0
70,czosnek,1.0,149.0,0.5,33.3,33.3,0.5,0.0
71,imbir,1.0,80.0,0.8,17.8,17.8,1.8,0.0
72,winogrono,1.0,67.0,0.4,17.15,16.2,0.63,0.0
73,fasolka zielona,1.0,31.0,0.3,6.0,4.2,1.0,0.0
74,hamburger,0.8,240.0,10.0,26.0,6.0,15.0,0.0
75,hanamaki baozi,1.0,235.0,2.0,47.0,4.0,7.0,0.0
76,lody,0.7,207.0,11.0,23.6,23.0,3.5,0.0
77,sok,1.0,45.0,0.2,10.4,8.4,0.7,0.0
